n,T,true_parameter,estimator_mean,estimator_variance
250,0,190,188.51851667732947,5.023466997164485
250,1,190,185.64097279623235,2.7133075550773142
250,2,190,189.82114566088134,-3.107245379864585
250,3,190,191.33048277333933,-1.8630081112458505
250,4,190,188.1582899120825,4.382643425113152
250,5,190,193.4046391571092,-2.064403031011416
250,6,190,189.65223360726478,3.5485010082798922
250,7,190,191.1892295695299,8.740280949632806
250,8,190,188.9245538751507,5.242253825779378
250,9,190,195.0286587651217,-7.283074447325595
250,10,190,190.04334625795954,-2.8589017790568176
250,11,190,188.6186603467211,4.011345222224326
250,12,190,191.8620247095131,5.464775779075168
250,13,190,186.99586580761826,-0.5815940537825632
250,14,190,190.08088152334233,-5.462520929004506
250,15,190,188.10985605378414,6.744175387020363
250,16,190,191.7094026011015,6.06739996587122
250,17,190,196.76520634268354,4.043982983731208
250,18,190,186.94757413711147,3.741929658175631
250,19,190,190.5320725582717,0.3116560668235895
250,20,190,192.10468542589268,-2.453553206178695
250,21,190,192.5289453725049,0.24816885559931734
250,22,190,192.07237949066908,10.927752917949348
250,23,190,193.83296721854353,-2.4870596811265013
250,24,190,190.4415217944375,0.26183449048990326
250,25,190,188.3791287451366,2.811930279573655
250,26,190,194.7728934984255,0.6910263937754806
250,27,190,187.08714885983318,10.162399160543249
250,28,190,193.6513857386112,2.1007954249224303
250,29,190,190.0997448281414,10.643457515639735
250,30,190,191.60582249085348,4.475359099507084
250,31,190,188.64458989018928,1.2406944896053966
250,32,190,194.2093523092426,2.6837776458145566
250,33,190,192.9547517157169,0.5719118038671862
250,34,190,197.10147227856854,2.612217519486828
250,35,190,185.74141151025333,2.8510360432110797
250,36,190,187.39448541778606,5.928304697968715
250,37,190,192.55462312213643,4.56626214135936
250,38,190,196.61301447987222,3.260750863529479
250,39,190,191.38773252337333,11.976109105988195
250,40,190,188.51533325955302,7.023807122896015
250,41,190,188.20427760960018,4.272992116852173
250,42,190,186.8984267935029,-9.115635085435596
250,43,190,190.53803078069345,7.411719262228511
250,44,190,188.52296840002535,8.63067246289283
250,45,190,192.95169214090987,4.902237120720859
250,46,190,189.53429676988858,1.21753359945183
250,47,190,188.9378396943452,-0.3684813111821743
250,48,190,193.08387417206959,9.962270315809864
250,49,190,195.14993553214015,2.2155503349870163
250,50,190,190.95156074588513,4.744239800446884
250,51,190,192.05841713586767,-3.4864983755938486
250,52,190,191.57700013384587,2.3813419215995824
250,53,190,188.0547813131335,6.714013199739879
250,54,190,188.34079983255845,-1.7819229829941827
250,55,190,189.08848930063576,0.5994513455252743
250,56,190,183.91959478621155,2.89913801496812
250,57,190,184.52226634635448,5.483325593601672
250,58,190,187.37192648305958,3.781976124884774
250,59,190,191.27723169227093,0.44638987372659855
250,60,190,193.8930161038067,8.08494500363528
250,61,190,188.01638630161057,3.0199141476941813
250,62,190,191.9488667557036,4.626556147316977
250,63,190,187.19838161059036,10.312557567360738
250,64,190,189.01274721454593,-5.3507837246065755
250,65,190,192.27198442408826,8.367019280539806
250,66,190,188.41043947218793,1.9120077389447268
250,67,190,187.60563735435971,1.7376903996809485
250,68,190,182.5828827672123,-0.8293046731046747
250,69,190,187.95411920222648,-1.8158044698522717
250,70,190,190.9625723223488,0.8389140173547709
250,71,190,189.6605163567892,-2.7768635508288853
250,72,190,187.6192220730297,4.086733004978035
250,73,190,192.87573084014787,2.8788085560146
250,74,190,189.39651636006565,4.52226176023694
250,75,190,191.16453087194395,1.5758563392784
250,76,190,193.23268644530683,4.858095199141839
250,77,190,187.4694552671518,-4.652045391610854
250,78,190,191.59365499354996,9.073324446851313
250,79,190,190.3303855455837,10.233170457010495
250,80,190,186.14600378038227,-4.143504538706249
250,81,190,188.69758306863653,-1.2844936560659796
250,82,190,191.4364152117354,-2.724076792730502
250,83,190,189.17640200616907,9.103919353718243
250,84,190,188.11836488755603,-6.268621903702113
250,85,190,194.00842468843481,6.705353541064596
250,86,190,189.5472471525999,1.4127798029947503
250,87,190,190.16114682389053,1.9935905255929196
250,88,190,189.12114825641729,-3.907717442785305
250,89,190,189.2958015929129,8.31920985788957
250,90,190,188.58100186761064,0.19201986085935374
250,91,190,189.57161223551705,6.504432375093789
250,92,190,184.66527100590218,3.644710346810567
250,93,190,182.69668545969955,0.8774973745717105
250,94,190,186.86449480248368,0.4213853482614649
250,95,190,192.1876965650085,1.6654268693875505
250,96,190,193.231075452724,0.45330892781965737
250,97,190,190.9319797822203,4.840332731350832
250,98,190,189.3770914092629,10.058156016466093
250,99,190,192.98367883556062,-0.4546491571415796
500,0,190,188.4694382678061,-1.2403179880144286
500,1,190,190.4255403399556,0.5520435995645157
500,2,190,189.37712823279412,2.3426092862448855
500,3,190,190.8189160630673,3.3260349872678505
500,4,190,188.89377926960142,2.5704605348599046
500,5,190,188.52257516118578,-0.3803577786639156
500,6,190,192.67070989097832,2.1666032373066084
500,7,190,191.33951672975095,-0.4563394135200527
500,8,190,189.80628454193018,1.0618522397670036
500,9,190,190.29510420960338,1.5551199129783768
500,10,190,189.99858231714944,5.886129176716622
500,11,190,192.65594376172882,0.30017554855781725
500,12,190,189.2047256716345,-0.9630240775632286
500,13,190,188.41413799827808,-0.7503189438407052
500,14,190,185.62759709087945,2.154379601004398
500,15,190,188.26204056151695,-0.5830266068447223
500,16,190,189.0022797230201,2.022992743465724
500,17,190,189.26553651404467,0.9446229405674904
500,18,190,189.9513124946261,-0.5440642530727198
500,19,190,188.11702259228528,0.5349378716586664
500,20,190,190.23822561932874,3.936689569602028
500,21,190,190.78827863228696,0.133347084508034
500,22,190,188.56408637237254,1.3947054906793754
500,23,190,191.30556994564,-1.366734060010784
500,24,190,191.23505784567996,-1.4231518287095435
500,25,190,189.30975372137829,-0.8252752000190231
500,26,190,189.13505473073377,0.19192103391483162
500,27,190,191.44582988776858,1.2119204400375434
500,28,190,192.55056575537003,-0.4841540703390246
500,29,190,189.93295637866066,5.089121907438351
500,30,190,190.34567151238292,3.248545305409841
500,31,190,190.47259696730137,2.488495180496485
500,32,190,191.68148715993178,1.1677706955915053
500,33,190,187.30622935236212,-0.24410272110294784
500,34,190,189.81067824153752,2.9629776242095263
500,35,190,190.29208454862672,-0.11534152655343899
500,36,190,191.82211663534375,1.9763403817024632
500,37,190,190.58352307480206,1.6858025835470372
500,38,190,187.66288375059574,1.8175177325946246
500,39,190,191.12706155598204,-1.069744603525157
500,40,190,188.90309866028412,-0.659890298341244
500,41,190,190.51628481693416,2.3375871220879976
500,42,190,189.10842070247946,1.4013747399040257
500,43,190,191.11608917288413,0.46685428618631963
500,44,190,190.1349112767574,0.27875859205054354
500,45,190,191.22119693767053,-0.09679857943471326
